Datum,Autobahn_KFZ_Total,Autobahn_KFZ_Total_Rolling_Average_7_Days
2017-05-30,47179251,45807932.14285714
2017-05-31,49087864,44594768.28571428
2017-06-01,51545546,46550460.71428572
2017-06-02,56864398,48366413.85714286
2017-06-03,42353839,48885639.571428575
2017-06-04,33355529,47082122.85714286
2017-06-05,39873761,45751455.428571425
2017-06-06,50974023,46293565.71428572
2017-06-07,48849115,46259458.71428572
2017-06-08,50180291,46064422.28571428
2017-06-09,53060127,45520955.0
2017-06-10,41853476,45449474.571428575
2017-06-11,39616726,46343931.28571428
2017-06-12,48297616,47547339.14285714
2017-06-13,48207054,47152057.85714286
2017-06-14,53988409,47886242.71428572
2017-06-15,39894837,46416892.14285714
2017-06-16,48722949,45797295.28571428
2017-06-17,41855271,45797551.71428572
2017-06-18,44924769,46555843.571428575
2017-06-19,49237059,46690049.71428572
2017-06-20,47569402,46598956.571428575
2017-06-21,49111074,45902194.428571425
2017-06-22,50619774,47434328.28571428
2017-06-23,55239094,48365206.14285714
2017-06-24,42087425,48398371.0
2017-06-25,41617493,47925903.0
2017-06-26,49492095,47962336.71428572
2017-06-27,48365480,48076062.14285714
2017-06-28,49461423,48126112.0
2017-06-29,51658994,48274572.0
2017-06-30,56465044,48449707.71428572
2017-07-01,44633285,48813402.0
2017-07-02,42561801,48948303.14285714
2017-07-03,49486310,48947476.71428572
2017-07-04,48126301,48913308.28571428
2017-07-05,49493964,48917957.0
2017-07-06,51319332,48869433.85714286
2017-07-07,54911021,48647430.571428575
2017-07-08,43849003,48535390.28571428
2017-07-09,43469331,48665037.428571425
2017-07-10,49658942,48689699.14285714
2017-07-11,48261567,48709022.85714286
2017-07-12,49025844,48642148.571428575
2017-07-13,52397014,48796103.14285714
2017-07-14,56977736,49091348.14285714
2017-07-15,47434475,49603558.428571425
2017-07-16,45393617,49878456.428571425
2017-07-17,49816762,49901002.14285714
2017-07-18,48299856,49906472.0
2017-07-19,49256548,49939429.71428572
2017-07-20,51899634,49868375.428571425
2017-07-21,56422376,49789038.28571428
2017-07-22,46936285,49717868.28571428
2017-07-23,45088424,49674269.28571428
2017-07-24,49538653,49634539.428571425
2017-07-25,47446661,49512654.428571425
2017-07-26,49144444,49496639.571428575
2017-07-27,51958970,49505116.14285714
2017-07-28,56687271,49542958.28571428
2017-07-29,47913480,49682557.571428575
2017-07-30,46362739,49864602.571428575
2017-07-31,50635782,50021335.28571428
2017-08-01,48419058,50160249.14285714
2017-08-02,49715932,50241890.28571428
2017-08-03,51349301,50154794.71428572
2017-08-04,56237351,50090520.428571425
2017-08-05,47577739,50042557.428571425
2017-08-06,47285838,50174428.71428572
2017-08-07,49879583,50066400.28571428
2017-08-08,47908460,49993457.71428572
2017-08-09,49427492,49952252.0
2017-08-10,51091191,49915379.14285714
2017-08-11,55328301,49785514.85714286
2017-08-12,46506511,49632482.28571428
2017-08-13,44977959,49302785.28571428
2017-08-14,48680596,49131501.428571425
2017-08-15,45888946,48842999.428571425
2017-08-16,49064138,48791091.71428572
2017-08-17,50840063,48755216.28571428
2017-08-18,54249174,48601055.28571428
2017-08-19,45788413,48498469.85714286
2017-08-20,45304876,48545172.28571428
2017-08-21,49375048,48644379.71428572
2017-08-22,48032583,48950613.571428575
2017-08-23,49583489,49024806.571428575
2017-08-24,51879174,49173251.0
2017-08-25,55630290,49370553.28571428
2017-08-26,45824419,49375697.0
2017-08-27,45229126,49364875.571428575
2017-08-28,49604170,49397607.28571428
2017-08-29,48538932,49469942.85714286
2017-08-30,49360357,49438066.85714286
2017-08-31,51279328,49352374.571428575
2017-09-01,55364389,49314388.71428572
2017-09-02,44794168,49167210.0
2017-09-03,44474798,49059448.85714286
2017-09-04,48791139,48943301.571428575
2017-09-05,47794862,48837005.85714286
2017-09-06,48618457,48731020.14285714
2017-09-07,51062860,48700096.14285714
2017-09-08,54628980,48595037.71428572
2017-09-09,43071169,48348895.0
2017-09-10,43454633,48203157.14285714
2017-09-11,48913271,48220604.571428575
2017-09-12,47850051,48228488.71428572
2017-09-13,48700674,48240234.0
2017-09-14,50564122,48168985.71428572
2017-09-15,55201460,48250768.571428575
2017-09-16,43653646,48333979.571428575
2017-09-17,42808553,48241682.428571425
2017-09-18,48462182,48177241.14285714
2017-09-19,48062703,48207620.0
2017-09-20,49307152,48294259.71428572
2017-09-21,50786278,48325996.28571428
2017-09-22,54945786,48289471.428571425
2017-09-23,42493543,48123742.428571425
2017-09-24,41315513,47910451.0
